111	23.97	305	1.48	0.08	11.30	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.4 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
41	23.88	338	1.43	0.07	11.09	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.6 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
16	23.88	338	1.43	0.07	11.09	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.6 	wrate_target=0.61	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
119	23.65	283	1.66	0.08	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.6 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
94	23.65	283	1.66	0.08	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.6 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
69	23.65	283	1.66	0.08	4.66	0.05%	0.00000000	wrate_lookback=80 	k_delta_calc=0.6 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
37	23.42	329	1.46	0.07	7.21	0.07%	0.00000000	wrate_lookback=40 	k_delta_calc=0.4 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
44	23.25	315	1.50	0.07	12.66	0.13%	0.00000000	wrate_lookback=80 	k_delta_calc=0.6 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
61	23.22	311	1.46	0.07	11.30	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.4 	wrate_target=0.69	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
50	23.21	314	1.48	0.07	12.66	0.13%	0.00000000	wrate_lookback=100 	k_delta_calc=0.8 	wrate_target=0.65	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
116	22.78	294	1.49	0.08	10.75	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.6 	wrate_target=0.77	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
91	22.59	297	1.48	0.08	10.75	0.11%	0.00000000	wrate_lookback=20 	k_delta_calc=0.6 	wrate_target=0.73	h1_value=30 	h1_ma=5 	k1_value=60 	k1_ma=25 	trade_dur=15 	order_volume=0.01 	thres=0.01 	broker_payout=0.8 	stake=100 	testmode=1
